feature,mean_abs_shap
categorical__diag_1_461,0.0
categorical__diag_1_459,0.0
categorical__diag_1_457,0.0
categorical__diag_1_456,0.0
categorical__diag_1_455,0.0
categorical__diag_1_454,0.0
categorical__diag_1_174,0.0
categorical__diag_1_173,0.0
categorical__diag_1_172,0.0
categorical__diag_1_171,0.0
categorical__diag_1_170,0.0
categorical__diag_1_164,0.0
categorical__diag_1_163,0.0
categorical__diag_1_162,0.0
categorical__diag_1_161,0.0
categorical__diag_1_160,0.0
categorical__diag_1_158,0.0
categorical__diag_1_157,0.0
categorical__diag_1_156,0.0
categorical__diag_1_155,0.0
categorical__diag_1_154,0.0
categorical__diag_1_153,0.0
categorical__diag_1_5,0.0
categorical__diag_1_496,0.0
categorical__diag_1_495,0.0
categorical__diag_1_494,0.0
categorical__diag_1_492,0.0
categorical__diag_1_491,0.0
categorical__diag_1_49,0.0
categorical__diag_1_487,0.0
categorical__diag_1_485,0.0
categorical__diag_1_483,0.0
categorical__diag_1_482,0.0
categorical__diag_1_480,0.0
categorical__diag_1_48,0.0
categorical__diag_1_478,0.0
categorical__diag_1_477,0.0
categorical__diag_1_475,0.0
categorical__diag_1_522,0.0
categorical__diag_1_521,0.0
categorical__diag_1_52,0.0
categorical__diag_1_519,0.0
categorical__diag_1_516,0.0
categorical__diag_1_515,0.0
categorical__diag_1_514,0.0
categorical__diag_1_513,0.0
categorical__diag_1_512,0.0
categorical__diag_1_510,0.0
categorical__diag_1_508,0.0
categorical__diag_1_507,0.0
categorical__diag_1_506,0.0
categorical__diag_1_501,0.0
categorical__diag_1_500,0.0
categorical__diag_1_54,0.0
categorical__diag_1_537,0.0
categorical__diag_1_536,0.0
categorical__diag_1_534,0.0
categorical__diag_1_533,0.0
categorical__diag_1_532,0.0
categorical__diag_1_531,0.0
categorical__diag_1_530,0.0
categorical__diag_1_53,0.0
categorical__diag_1_529,0.0
categorical__diag_1_528,0.0
categorical__diag_1_527,0.0
categorical__diag_1_526,0.0
categorical__diag_1_524,0.0
categorical__diag_1_523,0.0
categorical__diag_1_57,0.0
categorical__diag_1_568,0.0
categorical__diag_1_567,0.0
categorical__diag_1_565,0.0
categorical__diag_1_564,0.0
categorical__diag_1_562,0.0
categorical__diag_1_560,0.0
categorical__diag_1_558,0.0
categorical__diag_1_557,0.0
categorical__diag_1_556,0.0
categorical__diag_1_555,0.0
categorical__diag_1_552,0.0
categorical__diag_1_551,0.0
categorical__diag_1_550,0.0
categorical__diag_1_542,0.0
categorical__diag_1_541,0.0
categorical__diag_1_584,0.0
categorical__diag_1_583,0.0
categorical__diag_1_582,0.0
categorical__diag_1_581,0.0
categorical__diag_1_580,0.0
categorical__diag_1_58,0.0
categorical__diag_1_579,0.0
categorical__diag_1_578,0.0
categorical__diag_1_577,0.0
categorical__diag_1_576,0.0
categorical__diag_1_575,0.0
categorical__diag_1_574,0.0
categorical__diag_1_573,0.0
categorical__diag_1_572,0.0
categorical__diag_1_570,0.0
categorical__diag_1_607,0.0
categorical__diag_1_604,0.0
categorical__diag_1_603,0.0
categorical__diag_1_602,0.0
